"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
26110,166,"PRK","North Korea",10,"P'yongan-namdo",159,"Sunch'on","","Sunchon","Si","City"
26111,166,"PRK","North Korea",10,"P'yongan-namdo",160,"Tokch'on","","Dokchon","Si","City"
26112,166,"PRK","North Korea",10,"P'yongan-namdo",161,"Tukchang","","Dukjang","Gun","County"
26113,166,"PRK","North Korea",10,"P'yongan-namdo",162,"Taedong","","Daedong","Gun","County"
26114,166,"PRK","North Korea",10,"P'yongan-namdo",163,"Taehung","","Daenghung","Gun","County"
26115,166,"PRK","North Korea",10,"P'yongan-namdo",164,"Waudo","","","Gun","County"
26116,166,"PRK","North Korea",10,"P'yongan-namdo",165,"Yangdok","","Yangdok","Gun","County"
26117,166,"PRK","North Korea",11,"P'yongyang",166,"Chunghwa","","","Gun","County"
26118,166,"PRK","North Korea",11,"P'yongyang",167,"Jong","","","",""
26119,166,"PRK","North Korea",11,"P'yongyang",168,"Kangdong","",""," "," "
26120,166,"PRK","North Korea",11,"P'yongyang",169,"Kangnam","","","Gun","County"
26121,166,"PRK","North Korea",11,"P'yongyang",170,"Pyongyang","",""," "," "
26122,166,"PRK","North Korea",11,"P'yongyang",171,"Sangwon","","Sangwon","Gun","County"
26123,166,"PRK","North Korea",12,"Rason",172,"Rajin","","","Guyok ","Ward"
26124,166,"PRK","North Korea",12,"Rason",173,"Sonbong","","Sonbong","Gun","County"
26125,166,"PRK","North Korea",13,"Ryanggang",174,"Hyesan","","","Si","City"
26126,166,"PRK","North Korea",13,"Ryanggang",175,"Kapsan","","","Gun","County"
26127,166,"PRK","North Korea",13,"Ryanggang",176,"Kimhyonggwon","","Kimhyongwon","Gun","County"
26128,166,"PRK","North Korea",13,"Ryanggang",177,"Kimhyongjik","","Kimhyongjik","Gun","County"
26129,166,"PRK","North Korea",13,"Ryanggang",178,"Kimjongsuk","","Kimjongsuk","Gun","County"
26130,166,"PRK","North Korea",13,"Ryanggang",179,"P'ungso","","Phungso","Gun","County"
26131,166,"PRK","North Korea",13,"Ryanggang",180,"Paegam","","Baekam","Gun","County"
26132,166,"PRK","North Korea",13,"Ryanggang",181,"Poch'on","","Bochon","Gun","County"
26133,166,"PRK","North Korea",13,"Ryanggang",182,"Samjiyon","","","Gun","County"
26134,166,"PRK","North Korea",13,"Ryanggang",183,"Samsu","","","Gun","County"
26135,166,"PRK","North Korea",13,"Ryanggang",184,"Taehongdan","","","Gun","County"
26136,166,"PRK","North Korea",13,"Ryanggang",185,"Unhung","","Unhung","Gun","County"
26137,166,"PRK","North Korea",14,"Sinuiju",186,"Sinuiju","","Sinuiju","Si","City"
